,caption
0,pensive face
1,exploding head
2,an angry looking face
3,a face displayed wearing a widebrimmed cowboy hat
4,kissing face with closed eyes
5,confounded face
6,a dizzy face looking sick or confused from being spun around in circles too many times
7,face with headbandage
8,zippermouth face
9,the shame intended to be displayed on this face is not clear in most implementations
10,loudly crying face
11,slightly frowning face
12,an emoji face blowing a kiss usually shown with one eye open and the other eye winking
13,a face that is a little bit sad with a slight frown and neutral eyes
14,this emoji is kissing but also looks like a whistling emoji or blowing air
15,represents silence as this emoji is always silent
16,slightly smiling face
17,a face with smiling eyes and a broad open smile showing upper teeth and tongue on some platforms
18,smirking face
19,hushed face
20,a face displayed with an open hands gesture offering a hug
21,a face showing a bandage wrapped around the head
22,face with eyes closed and a sleep symbol – zzz – over the head
23,grinning face with smiling eyes
24,a face asking for quiet or silence by raising its index finger over its mouth as if to say shhh or shush
25,grinning face with big eyes
26,this face is blushing due to a mistake or other embarrassing situation
27,moneymouth face
28,a face displayed sneezing with a tissue blowing to one side and closed eyes
29,a face shown on most platforms with smiling eyes seemingly concealing a laugh
30,a look of concern with a blue forehead and sweat dripping down the cheek
31,covering the mouth indicating that the face is swearing
32,often used as excited jazz hands due to the similarity of appearance to this gesture on a number of platforms
33,face with a sad mouth and worriedlooking eyebrows
34,not to be confused with the pensive face which is more remorseful
35,may also be used in the context of the phrase zip it telling a person to stop talking or making noise
36,tired face
37,unamused face
38,face with steam from nose
39,some platforms display this as a friendly face while others appear more unhinged
40,face with symbols on mouth
41,a face with air coming out of its nose in a proud yet disdainful way
42,lying face
43,angry face
44,an emoji form of the  emoticon
45,expresses genuine happiness and various warm positive feelings
46,differs only slightly from the smiling face with open mouth emoji by the fact that these eyes are emojistyle smiling eyes instead of tall oval eyes
47,may be used as a request to the lower volume or more commonly to ask for metaphorical silence ie
48,thinking face
49,consistently a topten most popular emoji in the late 2010s
50,a face with a sad or neutral mouth with a single drop of sweat
51,not to be confused with the unamused face which has similar eyes but a displeased mouth
52,shown as a yellow smiley with nonhuman appearance
53,displayed with a furrowed brow on most platforms this emoji is commonly used for mad or angry emotions
54,on the verge of tears this emoji has tightly closed eyes and a quivering mouth
55,appears to have given up
56,face with open mouth
57,a face with a slight smile and neutral eyes
58,shushing face
59,a face with wide open eyes and raised eyebrows
60,similar to grinning face but with but with taller more excited eyes
61,expresses a radiant gratified happiness
62,may be used to describe a fancy situation
63,widely used to show something is funny or pleasing
64,one of the few smileys to feature a hand or hands
65,used to show someone who has been injured
66,a yellow face with a big grin uplifted eyebrows and smiling eyes each shedding a tear from laughing so hard
67,upsidedown face
68,face blowing a kiss
69,for the camera
70,anguished face
71,happy but not over the top
72,a yellow face with a slight partially open smile and its left eye winking right on whatsapp
73,imagine the things he would say if he had a mouth
74,most platforms display this emoji with wide eyes and raised eyebrows which gives an element of shock or surprise
75,pleasantly content
76,face savoring food
77,fearful face
78,a sterotypically nerdlike face with glasses and buck teeth
79,a pensive remorseful face
80,smiling face with hearteyes
81,face screaming in fear
82,used to show helplessness in a situation
83,not to be confused with sleeping face emoji this sleepyface emoji features a snot bubble coming out of the nose
84,flushed face
85,smiling face with halo
86,a distraughtlooking emoji with an open mouth and crescent shaped eyes
87,this emoji is kissing but also looks like a whistling emoji or blowing air
88,used in an attempt to be wacky zany or otherwise joking
89,disappointed face
90,this face has sweat dripping from its brow due to a stressful situation
91,a smiley shown to be so throwing up green vomit
92,this face is a more extreme version of the slightly frowning face
93,shows excitement and expresses hearty laughter
94,tone varies including playful affectionate suggestive or ironic
95,nerd face
96,one of the ten most popular emojis between 2014–2018 and was named the oxford dictionaries 2015 word of the year
97,sleeping face
98,a face shown with drool dripping from one side of the mouth
99,a face with the mouth wide open which is generally used to represent an element of surprise
100,a face with a neutral mouth and single eyebrow raised
101,may be on the verge of tears
102,may be used for a patient in hospital or for a common cold
103,a face featuring a straightandclosed mouth not giving away any particular emotion
104,a face with a zipper displayed instead of a mouth
105,indicates a love of money or a feeling of wealth
106,crying face
107,this face is distraught and inconsolable
108,a face with a neutral mouth and single eyebrow raised
109,nauseated face
110,winking face
111,some versions of this emoji features a tears running down each cheek
112,a yellow face with smiling eyes and fulltoothed grin as if saying cheese
113,the nerd face emoji is a similar face but with regular glasses
114,used to convey a sudden outburst of anger or frustration
115,this face has raised eyebrows open eyes and open mouth
116,commonly used for representing frustration at a situation or a being in a huff
117,squinting face with tongue
118,sleepy face
119,appears to be shocked by a scary event
120,a grimace emoji showing bared teeth
121,face with open eyes and open mouth
122,the appearance is similar to the astonished face but with open eyes instead of x eyes
123,an embarrassed face with flushed red cheeks
124,may be used as a display of desire in a person object or concept
125,rolling on the floor laughing
126,relieved face
127,intended to depict nerves or discomfort but commonly used as a means of expressing whew
128,tone varies including warm silly amused or proud
129,the eyes are distinct in their sideways glance and may be referred to as sideeye
130,face with tears of joy
131,an exhaustedlooking face with an open mouth and tightly closed eyes
132,grinning squinting face
133,a face with hearts instead of eyes or heart eyes emoji as it is generally known
134,face with raised eyebrow
135,cowboy hat face
136,also seen in public places primarily in asia to avoid sickness or spreading disease
137,a smiley face shown wearing a monocle
138,or close call
139,this emoji has eyes and no mouth
140,signals a joke flirtation hidden meaning or general positivity
141,similar to grinning face but with eyes that saysqueeorawesome
142,face with thermometer
143,the apple artwork for this emoji looks like a person yawning
144,smiling face with sunglasses
145,used literally for sickness or as a display of disgust
146,a yellow face with a big grin and scrunched eyes forming an x shape titled on its side as if rolling on the floor laughing the internet acronym rofl
147,face with monocle
148,may be metaphorically to emphasise disgust at a person or situation or in a literal sense
149,a green face shown with pursed lipsed as though it may be about to vomit
150,downcast face with sweat
151,a face that is upsidedown often representing a sense of silliness or goofiness
152,kissing face with smiling eyes
153,persevering face
154,a frowning face with an unhappy mouth curving downward
155,may be used to display feelings of shock awe or as a visual shorthand for the phrase mind blown
156,a face shown with a thermometer presumed to be feeling sick
157,hugging face
158,has inwardfacing eyebrows and a frowning mouth
159,an emoji form of the  emoticon
160,a yellow face with a broad open smile and scrunchedup eyes forming an x shape
161,generally used instead of the sleepy face emoji to indicate both sleeping and sleepiness
162,weary face
163,may be used to denote scepticism disbelief or disapproval
164,this might be considered a cheeky emoji although often less so than the cheeky monkey covering its mouth
165,a yellow face with smiling eyes and a closed smile turning up to rosy cheeks
166,a happy and smiling face with big open mouth showing teeth
167,a face with a long nose used to indicate the telling of a lie
168,not to be confused with the sad loudly crying face
169,a cheeky face sticking its tongue out in jest
170,face with hand over mouth
171,has been likened to the quizzical looks of stephen colbert and also resembles a common expression of the rock
172,dizzy face
173,face with raised eyebrow
174,a mixture of shock and disappointment
175,face with rolling eyes
176,may be used as a form of passiveaggression or to convey the notion that this is fine when things are in fact not fine
177,sad but relieved face
178,a sad face with a frowning mouth and disappointed eyes
179,a heart is shown leaving the kissing mouth
180,grinning face with sweat
181,used to indicate a silly happiness
182,crazy face
183,neutral face
184,grimacing face
185,displays on snapchat next to contacts who message one another often but who aren’t 1 best friends
186,winking face with tongue
187,a face shown with a single finger and thumb resting on the chin glancing upward
188,confused face
189,sneezing face
190,pouting face
191,saddened by life
192,used to indicate thinking or deep thought
193,conveys general happiness and goodnatured amusement
194,grinning face
195,feeling a sense of relief over a situation or to convey a calm or content state of mind
196,frowning face with open mouth
197,a sad face with tears streaming down both cheeks
198,a bit more of an ‘innocent i’m pretending i didn’t do anything’ whistle especially if combined with the music note
199,a zany face which is excitable and used to represent a certain amount of wackiness
200,this is used to show disdain contempt or boredom about a person or topic
201,quietly considering where things all went wrong
202,a screaming face with two hands holding the jaw and cheeks in fear
203,a face smiling and wearing dark sunglasses that is used to denote a sense of cool
204,face vomiting
205,this is used in anime and manga to indicate that a character is sleeping
206,used to express dissatisfaction
207,starstruck
208,a face with a grin and smiling eyes similar to grinning face with smiling eyes but with a single bead of forehead sweat over its left eye right on whatsapp
209,a face with an explosion taking place in the upper section of the head
210,a pouting face outwardly showing displeasure with a person or situation
211,used to convey a secret or that one will not discuss a certain matter with others aka my lips are sealed
212,smiling face with smiling eyes
213,a bit more of an ‘innocent i’m pretending i didn’t do anything’ whistle especially if combined with the music note
214,astonished face
215,kissing face
216,face with medical mask
217,this is not a face of sadness it is more of a grumpy displeased look
218,can be paired with a thoughtballoon or a light bulb to indicate an idea and is sometimes used to question the intelligence of a written statement aka throwing shade at a person or concept
219,expresses anger grumpiness or annoyance at a situation
220,that would be implied when a person wipes sweat from their brow in an exaggerated manner
221,can also be used for mock shock as it is less specific than the fearful face used for genuine shock
222,a face displaying eyes glancing upward indicating an eyeroll
223,wide eyes are shown with an open mouth
224,a sad face with a single tear running from one eye down the cheek
225,to keep a secret
226,a face showing a stuckout tongue winking at the same time
227,part displeased part unsure what to think
228,hurt and upset but not crying hysterically
229,an excited face showing stars instead of eyes
230,a friendly goofy smile with tongue hanging out the side of the mouth
231,face without mouth
232,conveys general pleasure and good cheer or humor
233,a face with a bank note showing instead of a tongue and dollar signs instead of eyes
